verb;tense;person;conjugation
[sein];praeteritum_konjunktiv_2;5;"[wäret;wärt]"
[sein];praeteritum_konjunktiv_2;6;[wären]
[arbeiten];futur_1_indikativ;1;[werde arbeiten]
[arbeiten];futur_1_indikativ;2;[wirst arbeiten]
[arbeiten];futur_1_indikativ;3;[wird arbeiten]
[arbeiten];futur_1_indikativ;4;[werden arbeiten]
[arbeiten];futur_1_indikativ;5;[werdet arbeiten]
[arbeiten];futur_1_indikativ;6;[werden arbeiten]
[arbeiten];futur_1_konjunktiv_1;1;[werde arbeiten]
[arbeiten];futur_1_konjunktiv_1;2;[werdest arbeiten]
[arbeiten];futur_1_konjunktiv_1;3;[werde arbeiten]
[arbeiten];futur_1_konjunktiv_1;4;[werden arbeiten]
[arbeiten];futur_1_konjunktiv_1;5;[werdet arbeiten]
[arbeiten];futur_1_konjunktiv_1;6;[werden arbeiten]
[arbeiten];futur_1_konjunktiv_2;1;[würde arbeiten]
[arbeiten];futur_1_konjunktiv_2;2;[würdest arbeiten]
[arbeiten];futur_1_konjunktiv_2;3;[würde arbeiten]
[arbeiten];futur_1_konjunktiv_2;4;[würden arbeiten]
[arbeiten];futur_1_konjunktiv_2;5;[würdet arbeiten]
[arbeiten];futur_1_konjunktiv_2;6;[würden arbeiten]
[arbeiten];futur_2_indikativ;1;[werde gearbeitet haben]
[arbeiten];futur_2_indikativ;2;[wirst gearbeitet haben]
[arbeiten];futur_2_indikativ;3;[wird gearbeitet haben]
[arbeiten];futur_2_indikativ;4;[werden gearbeitet haben]
[arbeiten];futur_2_indikativ;5;[werdet gearbeitet haben]
[arbeiten];futur_2_indikativ;6;[werden gearbeitet haben]
[arbeiten];futur_2_konjunktiv_1;1;[werde gearbeitet haben]
[arbeiten];futur_2_konjunktiv_1;2;[werdest gearbeitet haben]
[arbeiten];futur_2_konjunktiv_1;3;[werde gearbeitet haben]
[arbeiten];futur_2_konjunktiv_1;4;[werden gearbeitet haben]
[arbeiten];futur_2_konjunktiv_1;5;[werdet gearbeitet haben]
[arbeiten];futur_2_konjunktiv_1;6;[werden gearbeitet haben]
[arbeiten];futur_2_konjunktiv_2;1;[würde gearbeitet haben]
[arbeiten];futur_2_konjunktiv_2;2;[würdest gearbeitet haben]
[arbeiten];futur_2_konjunktiv_2;3;[würde gearbeitet haben]
[arbeiten];futur_2_konjunktiv_2;4;[würden gearbeitet haben]
[arbeiten];futur_2_konjunktiv_2;5;[würdet gearbeitet haben]
[arbeiten];futur_2_konjunktiv_2;6;[würden gearbeitet haben]
[arbeiten];imperativ;2;"[arbeite;arbeit]"
[arbeiten];imperativ;5;[arbeitet]
[arbeiten];imperativ;6;[arbeiten Sie]
[arbeiten];perfekt_indikativ;1;[habe gearbeitet]
[arbeiten];perfekt_indikativ;2;[hast gearbeitet]
[arbeiten];perfekt_indikativ;3;[hat gearbeitet]
[arbeiten];perfekt_indikativ;4;[haben gearbeitet]
[arbeiten];perfekt_indikativ;5;[habt gearbeitet]
[arbeiten];perfekt_indikativ;6;[haben gearbeitet]
[arbeiten];perfekt_konjunktiv_1;1;[habe gearbeitet]
[arbeiten];perfekt_konjunktiv_1;2;[habest gearbeitet]
[arbeiten];perfekt_konjunktiv_1;3;[habe gearbeitet]
[arbeiten];perfekt_konjunktiv_1;4;[haben gearbeitet]
[arbeiten];perfekt_konjunktiv_1;5;[habet gearbeitet]
[arbeiten];perfekt_konjunktiv_1;6;[haben gearbeitet]
[arbeiten];plusquamperfekt_indikativ;1;[hatte gearbeitet]
[arbeiten];plusquamperfekt_indikativ;2;[hattest gearbeitet]
[arbeiten];plusquamperfekt_indikativ;3;[hatte gearbeitet]
[arbeiten];plusquamperfekt_indikativ;4;[hatten gearbeitet]
[arbeiten];plusquamperfekt_indikativ;5;[hattet gearbeitet]
[arbeiten];plusquamperfekt_indikativ;6;[hatten gearbeitet]
[arbeiten];plusquamperfekt_konjunktiv_2;1;[hätte gearbeitet]
[arbeiten];plusquamperfekt_konjunktiv_2;2;[hättest gearbeitet]
[arbeiten];plusquamperfekt_konjunktiv_2;3;[hätte gearbeitet]
[arbeiten];plusquamperfekt_konjunktiv_2;4;[hätten gearbeitet]
[arbeiten];plusquamperfekt_konjunktiv_2;5;[hättet gearbeitet]
[arbeiten];plusquamperfekt_konjunktiv_2;6;[hätten gearbeitet]
[arbeiten];praesens_indikativ;1;[arbeite]
[arbeiten];praesens_indikativ;2;[arbeitest]
[arbeiten];praesens_indikativ;3;[arbeitet]
[arbeiten];praesens_indikativ;4;[arbeiten]
[arbeiten];praesens_indikativ;5;[arbeitet]
[arbeiten];praesens_indikativ;6;[arbeiten]
[arbeiten];praesens_konjunktiv_1;1;[arbeite]
[arbeiten];praesens_konjunktiv_1;2;[arbeitest]
[arbeiten];praesens_konjunktiv_1;3;[arbeite]
[arbeiten];praesens_konjunktiv_1;4;[arbeiten]
[arbeiten];praesens_konjunktiv_1;5;[arbeitet]
[arbeiten];praesens_konjunktiv_1;6;[arbeiten]
[arbeiten];praeteritum_indikativ;1;[arbeitete]
[arbeiten];praeteritum_indikativ;2;[arbeitetest]
[arbeiten];praeteritum_indikativ;3;[arbeitete]
[arbeiten];praeteritum_indikativ;4;[arbeiteten]
[arbeiten];praeteritum_indikativ;5;[arbeitetet]
[arbeiten];praeteritum_indikativ;6;[arbeiteten]
[arbeiten];praeteritum_konjunktiv_2;1;[arbeitete]
[arbeiten];praeteritum_konjunktiv_2;2;[arbeitetest]
[arbeiten];praeteritum_konjunktiv_2;3;[arbeitete]
[arbeiten];praeteritum_konjunktiv_2;4;[arbeiteten]
[arbeiten];praeteritum_konjunktiv_2;5;[arbeitetet]
[arbeiten];praeteritum_konjunktiv_2;6;[arbeiteten]
[verstehen];futur_1_indikativ;1;[werde verstehen]
[verstehen];futur_1_indikativ;2;[wirst verstehen]
[verstehen];futur_1_indikativ;3;[wird verstehen]
[verstehen];futur_1_indikativ;4;[werden verstehen]
[verstehen];futur_1_indikativ;5;[werdet verstehen]
[verstehen];futur_1_indikativ;6;[werden verstehen]
[verstehen];futur_1_konjunktiv_1;1;[werde verstehen]
[verstehen];futur_1_konjunktiv_1;2;[werdest verstehen]
[verstehen];futur_1_konjunktiv_1;3;[werde verstehen]
[verstehen];futur_1_konjunktiv_1;4;[werden verstehen]
[verstehen];futur_1_konjunktiv_1;5;[werdet verstehen]
[verstehen];futur_1_konjunktiv_1;6;[werden verstehen]
[verstehen];futur_1_konjunktiv_2;1;[würde verstehen]
[verstehen];futur_1_konjunktiv_2;2;[würdest verstehen]
[verstehen];futur_1_konjunktiv_2;3;[würde verstehen]
[verstehen];futur_1_konjunktiv_2;4;[würden verstehen]
[verstehen];futur_1_konjunktiv_2;5;[würdet verstehen]
[verstehen];futur_1_konjunktiv_2;6;[würden verstehen]
[verstehen];futur_2_indikativ;1;[werde verstanden haben]
[verstehen];futur_2_indikativ;2;[wirst verstanden haben]
[verstehen];futur_2_indikativ;3;[wird verstanden haben]
[verstehen];futur_2_indikativ;4;[werden verstanden haben]
[verstehen];futur_2_indikativ;5;[werdet verstanden haben]
[verstehen];futur_2_indikativ;6;[werden verstanden haben]
[verstehen];futur_2_konjunktiv_1;1;[werde verstanden haben]
[verstehen];futur_2_konjunktiv_1;2;[werdest verstanden haben]
[verstehen];futur_2_konjunktiv_1;3;[werde verstanden haben]
[verstehen];futur_2_konjunktiv_1;4;[werden verstanden haben]
[verstehen];futur_2_konjunktiv_1;5;[werdet verstanden haben]
[verstehen];futur_2_konjunktiv_1;6;[werden verstanden haben]
[verstehen];futur_2_konjunktiv_2;1;[würde verstanden haben]
[verstehen];futur_2_konjunktiv_2;2;[würdest verstanden haben]
[verstehen];futur_2_konjunktiv_2;3;[würde verstanden haben]
[verstehen];futur_2_konjunktiv_2;4;[würden verstanden haben]
[verstehen];futur_2_konjunktiv_2;5;[würdet verstanden haben]
[verstehen];futur_2_konjunktiv_2;6;[würden verstanden haben]
[verstehen];imperativ;2;"[versteh;verstehe]"
[verstehen];imperativ;5;[versteht]
[verstehen];imperativ;6;[verstehen Sie]
[verstehen];perfekt_indikativ;1;[habe verstanden]
[verstehen];perfekt_indikativ;2;[hast verstanden]
[verstehen];perfekt_indikativ;3;[hat verstanden]
[verstehen];perfekt_indikativ;4;[haben verstanden]
[verstehen];perfekt_indikativ;5;[habt verstanden]
[verstehen];perfekt_indikativ;6;[haben verstanden]
[verstehen];perfekt_konjunktiv_1;1;[habe verstanden]
[verstehen];perfekt_konjunktiv_1;2;[habest verstanden]
[verstehen];perfekt_konjunktiv_1;3;[habe verstanden]
[verstehen];perfekt_konjunktiv_1;4;[haben verstanden]
[verstehen];perfekt_konjunktiv_1;5;[habet verstanden]
[verstehen];perfekt_konjunktiv_1;6;[haben verstanden]
[verstehen];plusquamperfekt_indikativ;1;[hatte verstanden]
[verstehen];plusquamperfekt_indikativ;2;[hattest verstanden]
[verstehen];plusquamperfekt_indikativ;3;[hatte verstanden]
[verstehen];plusquamperfekt_indikativ;4;[hatten verstanden]
[verstehen];plusquamperfekt_indikativ;5;[hattet verstanden]
[verstehen];plusquamperfekt_indikativ;6;[hatten verstanden]
[verstehen];plusquamperfekt_konjunktiv_2;1;[hätte verstanden]
[verstehen];plusquamperfekt_konjunktiv_2;2;[hättest verstanden]
[verstehen];plusquamperfekt_konjunktiv_2;3;[hätte verstanden]
[verstehen];plusquamperfekt_konjunktiv_2;4;[hätten verstanden]
[verstehen];plusquamperfekt_konjunktiv_2;5;[hättet verstanden]
[verstehen];plusquamperfekt_konjunktiv_2;6;[hätten verstanden]
[verstehen];praesens_indikativ;1;[verstehe]
[verstehen];praesens_indikativ;2;[verstehst]
[verstehen];praesens_indikativ;3;[versteht]
[verstehen];praesens_indikativ;4;[verstehen]
[verstehen];praesens_indikativ;5;[versteht]
[verstehen];praesens_indikativ;6;[verstehen]
[verstehen];praesens_konjunktiv_1;1;[verstehe]
[verstehen];praesens_konjunktiv_1;2;[verstehest]
[verstehen];praesens_konjunktiv_1;3;[verstehe]
[verstehen];praesens_konjunktiv_1;4;[verstehen]
[verstehen];praesens_konjunktiv_1;5;[verstehet]
[verstehen];praesens_konjunktiv_1;6;[verstehen]
[verstehen];praeteritum_indikativ;1;[verstand]
[verstehen];praeteritum_indikativ;2;"[verstandest;verstandst]"
[verstehen];praeteritum_indikativ;3;[verstand]
[verstehen];praeteritum_indikativ;4;[verstanden]
[verstehen];praeteritum_indikativ;5;[verstandet]
[verstehen];praeteritum_indikativ;6;[verstanden]
[verstehen];praeteritum_konjunktiv_2;1;"[verstände;verstünde]"
[verstehen];praeteritum_konjunktiv_2;2;"[verständest;verstündest]"
[verstehen];praeteritum_konjunktiv_2;3;"[verstände;verstünde]"
[verstehen];praeteritum_konjunktiv_2;4;"[verständen;verstünden]"
[verstehen];praeteritum_konjunktiv_2;5;"[verständet;verstündet]"
[verstehen];praeteritum_konjunktiv_2;6;"[verständen;verstünden]"
